mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02635612487792969,0.009174801815695266,0.010940647125244141,0.0018621411197018375,0.001,balanced,l1,liblinear,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.600457702020202,0.5688131313131314,0.59464039408867,0.5982266009852216,0.535448275862069,0.5795172208538588,0.024794775541041793,13
0.017907238006591795,0.002684844670112827,0.009266471862792969,0.0015918243975153261,0.001,balanced,l2,liblinear,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.600457702020202,0.5870028409090908,0.59464039408867,0.5981083743842364,0.5353300492610837,0.5831078721326566,0.024318395784710522,10
0.019646692276000976,0.0022159698980228552,0.008208036422729492,0.0007161417083385499,0.001,,l1,liblinear,"{'C': 0.001, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.59375,0.574771148989899,0.5848669950738916,0.585576354679803,0.5254384236453202,0.5728805844777828,0.02447334052747067,24
0.026730775833129883,0.005623665607127285,0.008278417587280273,0.0008967499979372757,0.001,,l2,liblinear,"{'C': 0.001, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.5925662878787878,0.5859769570707072,0.5807290640394088,0.6067783251231527,0.5298522167487685,0.579180570172165,0.026163672052872254,14
0.10810279846191406,0.018404080948788155,0.012480735778808594,0.004090327156442586,0.01,balanced,l1,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.6114267676767676,0.5662484217171717,0.5755665024630542,0.5853004926108374,0.617576354679803,0.5912237078295267,0.0200330881194856,4
0.023508739471435548,0.0037433978164307705,0.011830997467041016,0.004830341911939494,0.01,balanced,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.600457702020202,0.587042297979798,0.59464039408867,0.5981083743842364,0.5353300492610837,0.5831157635467981,0.024319664805725852,9
0.10712037086486817,0.021306847757500864,0.013265657424926757,0.003858257021203793,0.01,,l1,liblinear,"{'C': 0.01, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.6135574494949495,0.5734296085858586,0.5737536945812808,0.5976354679802957,0.6078029556650246,0.5932358352614818,0.016830723041954918,3
0.03934435844421387,0.009634079792541276,0.012744998931884766,0.005424821919673035,0.01,,l2,liblinear,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.5925662878787878,0.5859769570707071,0.5807290640394088,0.5971231527093596,0.5298522167487685,0.5772495356894064,0.024348898929325336,19
0.21735100746154784,0.04482736929898368,0.012865877151489258,0.005433571677802977,0.1,balanced,l1,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.6208175505050505,0.5671559343434343,0.5626009852216749,0.6046896551724139,0.6121773399014778,0.5934882930288102,0.023954365775747756,2
0.030202674865722656,0.00999488184380962,0.012684106826782227,0.002953187734445564,0.1,balanced,l2,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.600457702020202,0.5871212121212122,0.59464039408867,0.5981083743842364,0.5353300492610837,0.5831315463750808,0.024322233373827745,5
0.20049967765808105,0.034823071466062526,0.008848857879638673,0.0006187921589303894,0.1,,l1,liblinear,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.6206202651515151,0.5683396464646464,0.5631133004926108,0.6066995073891626,0.6089458128078816,0.5935437064611634,0.023258092166829916,1
0.03675093650817871,0.00666561300882033,0.012826061248779297,0.002932491509728475,0.1,,l2,liblinear,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.5925662878787878,0.5860164141414141,0.5807290640394088,0.6063054187192118,0.5298522167487685,0.5790938803055182,0.02606649312450394,15
0.4265272617340088,0.07604554687527693,0.009045839309692383,0.002865147776236779,1.0,balanced,l1,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.6087042297979798,0.5559106691919192,0.5601182266009852,0.5847881773399014,0.6004334975369459,0.5819909600935462,0.021072011930171265,12
0.027279138565063477,0.012031130795131817,0.012701892852783203,0.00490660653169788,1.0,balanced,l2,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.600457702020202,0.5871212121212122,0.59464039408867,0.5981083743842364,0.5353300492610837,0.5831315463750808,0.024322233373827745,5
0.32648773193359376,0.0929437807448788,0.007787895202636719,0.000641439519675995,1.0,,l1,liblinear,"{'C': 1, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.6092171717171717,0.555239898989899,0.5607093596059113,0.5859704433497537,0.5997241379310345,0.582172202318754,0.021165679900925653,11
0.023397064208984374,0.0053205005037900285,0.007608890533447266,0.0006955747207079356,1.0,,l2,liblinear,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.5925662878787878,0.5860164141414141,0.5807290640394088,0.5990147783251232,0.5298522167487685,0.5776357522267004,0.024670038454146965,17
0.4959122657775879,0.16450183651556294,0.006475305557250977,0.0012071597348226823,10.0,balanced,l1,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.5972616792929293,0.5525962752525252,0.55728078817734,0.5806896551724138,0.5960197044334975,0.5767696204657411,0.018815005089592014,21
0.016277170181274413,0.0058451842670915926,0.0072975635528564455,0.000306009680647526,10.0,balanced,l2,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.600457702020202,0.5871212121212122,0.59464039408867,0.5981083743842364,0.5353300492610837,0.5831315463750808,0.024322233373827745,5
0.3426386833190918,0.049154159157296894,0.007354545593261719,0.00024662801474904924,10.0,,l1,liblinear,"{'C': 10, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.5986032196969697,0.552517361111111,0.5581477832512316,0.580295566502463,0.5956256157635468,0.5770379092650645,0.01886410305401967,20
0.020682144165039062,0.0026752852420244165,0.0070706367492675785,0.00017543976345872227,10.0,,l2,liblinear,"{'C': 10, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.5925662878787878,0.5860164141414141,0.5807290640394088,0.6061083743842364,0.5298522167487685,0.5790544714385231,0.026025439943425516,16
0.406610107421875,0.09294231397040743,0.007428455352783203,0.0006231786882022322,100.0,balanced,l1,liblinear,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.5967881944444444,0.5519649621212122,0.5554679802955664,0.5805714285714285,0.5958620689655172,0.5761309268796337,0.019218272246867694,23
0.014383172988891602,0.0018939642360697342,0.007128095626831055,2.4717280816646213e-05,100.0,balanced,l2,liblinear,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.600457702020202,0.5871212121212122,0.59464039408867,0.5981083743842364,0.5353300492610837,0.5831315463750808,0.024322233373827745,5
0.29465432167053224,0.0653248991688229,0.004602766036987305,0.0009254436181363388,100.0,,l1,liblinear,"{'C': 100, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.5973011363636364,0.5519255050505051,0.5574778325123153,0.5799408866995073,0.5955862068965517,0.5764463135045031,0.018839026066910708,22
0.01989588737487793,0.0005201325121034806,0.007110977172851562,0.0002349809585817087,100.0,,l2,liblinear,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.5925662878787878,0.5860164141414141,0.5807290640394088,0.5971231527093596,0.5298522167487685,0.5772574271035478,0.024351732413961477,18
